jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1029,  2655,  completed,  eof,  2019-03-13 16:30:47,  2019-03-13 16:34:12,  205,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.40007464544.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.094548696031,  22695,  10,  None,  22,  12,  9.40007464544,  2,  0.0001,  None,  0.094548696031,  0.821227308911,  0.881062922625, 
1029,  2656,  completed,  eof,  2019-03-13 16:33:09,  2019-03-13 16:36:33,  204,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0173540759622.modelParams|spParams|synPermInactiveDec_0.0796661859128,  22695,  10,  1,  22,  12,  None,  1,  0.0173540759622,  None,  0.0796661859128,  0.821227308911,  0.881062922625, 
1029,  2657,  completed,  eof,  2019-03-13 16:34:12,  2019-03-13 16:37:34,  202,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.59337965228.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0903560306878,  22695,  10,  None,  22,  12,  9.59337965228,  2,  0.0001,  None,  0.0903560306878,  0.821227308911,  0.881062922625, 
1029,  2658,  completed,  eof,  2019-03-13 16:36:33,  2019-03-13 16:39:58,  205,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_31.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0337265418415.modelParams|spParams|synPermInactiveDec_0.0595456897226,  22695,  10,  1,  31,  12,  None,  2,  0.0337265418415,  None,  0.0595456897226,  1.16792405411,  1.25302041146, 
1029,  2659,  completed,  eof,  2019-03-13 16:37:34,  2019-03-13 16:40:55,  201,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_10.3581974331.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0989695260997,  22695,  9,  None,  22,  12,  10.3581974331,  1,  0.0001,  None,  0.0989695260997,  0.821227308911,  0.881062922625, 
1029,  2660,  completed,  eof,  2019-03-13 16:39:58,  2019-03-13 16:43:24,  206,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|sensorParams|encoders|value:n_26.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0248056359973.modelParams|spParams|synPermInactiveDec_0.0667034650743,  22695,  9,  1,  26,  12,  None,  1,  0.0248056359973,  None,  0.0667034650743,  1.29584613802,  1.39026305293, 
1029,  2661,  completed,  eof,  2019-03-13 16:40:55,  2019-03-13 16:44:21,  206,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.84461693834.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0926634328672,  22695,  10,  None,  22,  12,  9.84461693834,  2,  0.0001,  None,  0.0926634328672,  0.821227308911,  0.881062922625, 
1029,  2662,  completed,  eof,  2019-03-13 16:43:24,  2019-03-13 16:46:58,  214,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_10.8350332969.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0898347366137,  22695,  10,  None,  22,  12,  10.8350332969,  2,  0.0001,  None,  0.0898347366137,  0.821227308911,  0.881062922625, 
1029,  2663,  completed,  eof,  2019-03-13 16:44:21,  2019-03-13 16:47:48,  207,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.49383822119.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  22695,  10,  None,  22,  12,  9.49383822119,  2,  0.0001,  None,  0.1,  0.821227308911,  0.881062922625, 
1029,  2664,  completed,  eof,  2019-03-13 16:46:58,  2019-03-13 16:50:23,  205,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.40535827523.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0991101345251,  22695,  10,  None,  22,  12,  9.40535827523,  2,  0.0001,  None,  0.0991101345251,  0.821227308911,  0.881062922625, 
1029,  2665,  completed,  eof,  2019-03-13 16:47:48,  2019-03-13 16:51:17,  209,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_10.1279405189.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  22695,  10,  None,  22,  12,  10.1279405189,  2,  0.0001,  None,  0.1,  0.821227308911,  0.881062922625, 
1029,  2666,  completed,  killed,  2019-03-13 16:50:23,  2019-03-13 16:51:18,  55,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.34336316053.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.0980734007254,  6550,  10,  None,  22,  12,  9.34336316053,  2,  0.0001,  None,  0.0980734007254,  1.04480786346,  1.20048398572, 
